category,fields,keywords
cloud,"uk_summary,region_headline,cloud_headline,cloud_detail,chance_cloud_free","cloud,mist,fog,overcast,shrouded,clarity,visibility"
wind,"uk_summary,region_headline,wind_headline,wind_effect","wind,breezy,gale,gusts,blow,stormy"
wet,"uk_summary,region_headline,precip_headline,precip_detail","rain,wet,snow,shower,drizzle,precipitation,hail,sleet"
cold,"uk_summary,region_headline,temp,freezing_level","cold,temperature,freezing,chill,frost,warm,heat"
sun,"uk_summary,region_headline,sun_clarity","sun,sunny,sunshine,clarity,visibility"
full,"all","full,everything,complete,all,detail,detailed"
